run_name,status,model_name,image_size,learning_rate,batch_size,augmentation,run_mode,reduced_label_tag,num_classes,epochs,best_epoch,best_val_mdice_ex_bg,best_val_pixel_acc_ex_bg,best_val_miou_ex_bg,seconds,checkpoint_path,history_csv,per_class_csv,config_json
segformer_b0_res192_lr0.0003_bs8_weak_full_full_labels,completed,segformer_b0,192,0.0003,8,weak,full,full_labels,47,12,9,0.2289547324180603,0.6159532070159912,0.15517722070217133,2329.0260860999115,outputs\task2\checkpoints\segformer_b0_res192_lr0.0003_bs8_weak_full_full_labels.pt,outputs\task2\histories\segformer_b0_res192_lr0.0003_bs8_weak_full_full_labels.csv,outputs\task2\per_class_metrics\segformer_b0_res192_lr0.0003_bs8_weak_full_full_labels.csv,outputs\task2\configs\segformer_b0_res192_lr0.0003_bs8_weak_full_full_labels.json
segformer_b0_res192_lr0.0003_bs8_strong_full_full_labels,completed,segformer_b0,192,0.0003,8,strong,full,full_labels,47,12,10,0.21057924628257751,0.5969762802124023,0.13963602483272552,2322.147645699908,outputs\task2\checkpoints\segformer_b0_res192_lr0.0003_bs8_strong_full_full_labels.pt,outputs\task2\histories\segformer_b0_res192_lr0.0003_bs8_strong_full_full_labels.csv,outputs\task2\per_class_metrics\segformer_b0_res192_lr0.0003_bs8_strong_full_full_labels.csv,outputs\task2\configs\segformer_b0_res192_lr0.0003_bs8_strong_full_full_labels.json
segformer_b0_res192_lr0.0003_bs16_weak_full_full_labels,completed,segformer_b0,192,0.0003,16,weak,full,full_labels,47,12,12,0.23725266754627228,0.6193222999572754,0.15816813707351685,1586.8527918999316,outputs\task2\checkpoints\segformer_b0_res192_lr0.0003_bs16_weak_full_full_labels.pt,outputs\task2\histories\segformer_b0_res192_lr0.0003_bs16_weak_full_full_labels.csv,outputs\task2\per_class_metrics\segformer_b0_res192_lr0.0003_bs16_weak_full_full_labels.csv,outputs\task2\configs\segformer_b0_res192_lr0.0003_bs16_weak_full_full_labels.json
segformer_b0_res192_lr0.0003_bs16_strong_full_full_labels,completed,segformer_b0,192,0.0003,16,strong,full,full_labels,47,12,5,0.20177069306373596,0.5906491279602051,0.1361227184534073,1129.713402000023,outputs\task2\checkpoints\segformer_b0_res192_lr0.0003_bs16_strong_full_full_labels.pt,outputs\task2\histories\segformer_b0_res192_lr0.0003_bs16_strong_full_full_labels.csv,outputs\task2\per_class_metrics\segformer_b0_res192_lr0.0003_bs16_strong_full_full_labels.csv,outputs\task2\configs\segformer_b0_res192_lr0.0003_bs16_strong_full_full_labels.json
segformer_b0_res384_lr0.001_bs8_weak_full_full_labels,completed,segformer_b0,384,0.001,8,weak,full,full_labels,47,12,11,0.24104681611061096,0.6327590346336365,0.1636267751455307,4513.630236999947,outputs\task2\checkpoints\segformer_b0_res384_lr0.001_bs8_weak_full_full_labels.pt,outputs\task2\histories\segformer_b0_res384_lr0.001_bs8_weak_full_full_labels.csv,outputs\task2\per_class_metrics\segformer_b0_res384_lr0.001_bs8_weak_full_full_labels.csv,outputs\task2\configs\segformer_b0_res384_lr0.001_bs8_weak_full_full_labels.json
segformer_b0_res384_lr0.001_bs8_strong_full_full_labels,completed,segformer_b0,384,0.001,8,strong,full,full_labels,47,12,12,0.20414091646671295,0.5801287889480591,0.13555273413658142,4507.9227465,outputs\task2\checkpoints\segformer_b0_res384_lr0.001_bs8_strong_full_full_labels.pt,outputs\task2\histories\segformer_b0_res384_lr0.001_bs8_strong_full_full_labels.csv,outputs\task2\per_class_metrics\segformer_b0_res384_lr0.001_bs8_strong_full_full_labels.csv,outputs\task2\configs\segformer_b0_res384_lr0.001_bs8_strong_full_full_labels.json
segformer_b0_res384_lr0.001_bs16_weak_full_full_labels,completed,segformer_b0,384,0.001,16,weak,full,full_labels,47,12,12,0.2731216549873352,0.6566031575202942,0.1870035082101822,4553.82565959997,outputs\task2\checkpoints\segformer_b0_res384_lr0.001_bs16_weak_full_full_labels.pt,outputs\task2\histories\segformer_b0_res384_lr0.001_bs16_weak_full_full_labels.csv,outputs\task2\per_class_metrics\segformer_b0_res384_lr0.001_bs16_weak_full_full_labels.csv,outputs\task2\configs\segformer_b0_res384_lr0.001_bs16_weak_full_full_labels.json
segformer_b0_res384_lr0.001_bs16_strong_full_full_labels,completed,segformer_b0,384,0.001,16,strong,full,full_labels,47,12,9,0.2379153072834015,0.6220394968986511,0.15945400297641754,4549.779193799943,outputs\task2\checkpoints\segformer_b0_res384_lr0.001_bs16_strong_full_full_labels.pt,outputs\task2\histories\segformer_b0_res384_lr0.001_bs16_strong_full_full_labels.csv,outputs\task2\per_class_metrics\segformer_b0_res384_lr0.001_bs16_strong_full_full_labels.csv,outputs\task2\configs\segformer_b0_res384_lr0.001_bs16_strong_full_full_labels.json
segformer_b0_res384_lr0.0003_bs8_weak_full_full_labels,completed,segformer_b0,384,0.0003,8,weak,full,full_labels,47,12,10,0.30444374680519104,0.6736453771591187,0.21178074181079865,4507.41254020005,outputs\task2\checkpoints\segformer_b0_res384_lr0.0003_bs8_weak_full_full_labels.pt,outputs\task2\histories\segformer_b0_res384_lr0.0003_bs8_weak_full_full_labels.csv,outputs\task2\per_class_metrics\segformer_b0_res384_lr0.0003_bs8_weak_full_full_labels.csv,outputs\task2\configs\segformer_b0_res384_lr0.0003_bs8_weak_full_full_labels.json
segformer_b0_res384_lr0.0003_bs8_strong_full_full_labels,completed,segformer_b0,384,0.0003,8,strong,full,full_labels,47,12,11,0.2792271673679352,0.6576063632965088,0.19527709484100342,4507.890793600003,outputs\task2\checkpoints\segformer_b0_res384_lr0.0003_bs8_strong_full_full_labels.pt,outputs\task2\histories\segformer_b0_res384_lr0.0003_bs8_strong_full_full_labels.csv,outputs\task2\per_class_metrics\segformer_b0_res384_lr0.0003_bs8_strong_full_full_labels.csv,outputs\task2\configs\segformer_b0_res384_lr0.0003_bs8_strong_full_full_labels.json
